start_station,start_lat,start_lon,end_station,end_lat,end_lon
483,40.73223272,-73.98889957,168,40.73971301,-73.99456405
453,40.74475148,-73.99915362,334,40.74238787,-73.99726235
290,40.76020258,-73.96478473,454,40.75455731,-73.96592976
153,40.75206231,-73.9816324,485,40.75038009,-73.98338988
402,40.7403432,-73.98955109,357,40.73261787,-73.99158043
490,40.751551,-73.993934,447,40.76370739,-73.9851615
545,40.736502,-73.97809472,511,40.72938685,-73.97772429
410,40.72066442,-73.98517977,373,40.69331716,-73.95381995
173,40.76064679,-73.98442659,527,40.744023,-73.976056
527,40.744023,-73.976056,537,40.74025878,-73.98409214
167,40.7489006,-73.97604882,432,40.72621788,-73.98379855
444,40.7423543,-73.98915076,285,40.73454567,-73.99074142
467,40.68312489,-73.97895137,396,40.68034242,-73.95576894
439,40.7262807,-73.98978041,293,40.73028666,-73.9907647
410,40.72066442,-73.98517977,312,40.722055,-73.989111
2017,40.75022392,-73.97121414,164,40.75323098,-73.97032517
270,40.69308257,-73.97178913,261,40.69474881,-73.98362464
2008,40.70569254,-74.01677685,387,40.71273266,-74.0046073
174,40.7381765,-73.97738662,412,40.7158155,-73.99422366
383,40.735238,-74.000271,325,40.73624527,-73.98473765
223,40.73781509,-73.99994661,511,40.72938685,-73.97772429
383,40.735238,-74.000271,293,40.73028666,-73.9907647
408,40.71076228,-73.99400398,417,40.71291224,-74.01020234
157,40.69089272,-73.99612349,391,40.69760127,-73.99344559
301,40.72217444,-73.98368779,382,40.73492695,-73.99200509
380,40.73401143,-74.00293877,152,40.71473993,-74.00910627
503,40.73827428,-73.98751968,487,40.73314259,-73.97573881
497,40.73704984,-73.99009296,325,40.73624527,-73.98473765
147,40.71542197,-74.01121978,249,40.71870987,-74.0090009
372,40.694528,-73.958089,372,40.694528,-73.958089
263,40.71729,-73.996375,507,40.73912601,-73.97973776
251,40.72317958,-73.99480012,161,40.72917025,-73.99810231
432,40.72621788,-73.98379855,301,40.72217444,-73.98368779
296,40.71413089,-73.9970468,266,40.72368361,-73.97574813
521,40.75044999,-73.99481051,450,40.76227205,-73.98788205
321,40.69991755,-73.98971773,387,40.71273266,-74.0046073
306,40.70823502,-74.00530063,504,40.73221853,-73.98165557
482,40.73935542,-73.99931783,517,40.751581,-73.97791
483,40.73223272,-73.98889957,379,40.749156,-73.9916
476,40.74394314,-73.97966069,285,40.73454567,-73.99074142
331,40.71173107,-73.99193043,415,40.7047177,-74.00926027
285,40.73454567,-73.99074142,504,40.73221853,-73.98165557
505,40.74901271,-73.98848395,505,40.74901271,-73.98848395
380,40.73401143,-74.00293877,494,40.74734825,-73.99723551
497,40.73704984,-73.99009296,509,40.7454973,-74.00197139
458,40.751396,-74.005226,404,40.7405826,-74.00550867
474,40.7451677,-73.98683077,492,40.75019995,-73.99093085
528,40.74290902,-73.97706058,160,40.748238,-73.978311
546,40.74444921,-73.98303529,546,40.74444921,-73.98303529
296,40.71413089,-73.9970468,119,40.69608941,-73.97803415
505,40.74901271,-73.98848395,505,40.74901271,-73.98848395
352,40.76340613,-73.97722479,468,40.7652654,-73.98192338
402,40.7403432,-73.98955109,357,40.73261787,-73.99158043
402,40.7403432,-73.98955109,357,40.73261787,-73.99158043
284,40.73901691,-74.00263761,457,40.76695317,-73.98169333
434,40.74317449,-74.00366443,285,40.73454567,-73.99074142
161,40.72917025,-73.99810231,247,40.73535398,-74.00483091
504,40.73221853,-73.98165557,428,40.72467721,-73.98783413
472,40.7457121,-73.98194829,174,40.7381765,-73.97738662
